,Month,Breakdown,Country,Number of Tourists
2510,01/06/2017,Europe,the United Kingdom,6081.0
2511,01/06/2017,Asia,China,24160.0
2512,01/06/2017,Asia,India,6919.0
2517,01/06/2017,Europe,France,701.0
2535,01/07/2017,Europe,Germany,6830.0
2536,01/07/2017,Europe,Italy,3698.0
2537,01/07/2017,Europe,Russia,4144.0
2538,01/07/2017,Europe,the United Kingdom,7705.0
2539,01/07/2017,Asia,China,34276.0
2540,01/07/2017,Asia,India,5386.0
2545,01/07/2017,Europe,France,1504.0
2563,01/08/2017,Europe,Germany,6916.0
2564,01/08/2017,Europe,Italy,7227.0
2565,01/08/2017,Europe,Russia,4166.0
2566,01/08/2017,Europe,the United Kingdom,8565.0
2567,01/08/2017,Asia,China,33743.0
2568,01/08/2017,Asia,India,6024.0
2573,01/08/2017,Europe,France,2695.0
2591,01/09/2017,Europe,Germany,8793.0
2592,01/09/2017,Europe,Italy,3577.0
2593,01/09/2017,Europe,Russia,3522.0
2594,01/09/2017,Europe,the United Kingdom,7499.0
2595,01/09/2017,Asia,China,27214.0
2596,01/09/2017,Asia,India,6788.0
2601,01/09/2017,Europe,France,1515.0
2619,01/10/2017,Europe,Germany,15007.0
2620,01/10/2017,Europe,Italy,4898.0
2621,01/10/2017,Europe,Russia,5485.0
2622,01/10/2017,Europe,the United Kingdom,9173.0
2623,01/10/2017,Asia,China,28689.0
2624,01/10/2017,Asia,India,7414.0
2629,01/10/2017,Europe,France,3170.0
2647,01/11/2017,Europe,Germany,11829.0
2648,01/11/2017,Europe,Italy,7017.0
2649,01/11/2017,Europe,Russia,6421.0
2650,01/11/2017,Europe,the United Kingdom,9579.0
2651,01/11/2017,Asia,China,21195.0
2652,01/11/2017,Asia,India,7231.0
2657,01/11/2017,Europe,France,3345.0
2675,01/12/2017,Europe,Germany,9042.0
2676,01/12/2017,Europe,Italy,14756.0
2677,01/12/2017,Europe,Russia,7567.0
2678,01/12/2017,Europe,the United Kingdom,9719.0
2679,01/12/2017,Asia,China,19918.0
2680,01/12/2017,Asia,India,12647.0
2685,01/12/2017,Europe,France,5491.0
2703,01/01/2018,Europe,Germany,8329.0
2704,01/01/2018,Europe,Italy,14329.0
2705,01/01/2018,Europe,Russia,9595.0
2706,01/01/2018,Europe,the United Kingdom,9442.0
2707,01/01/2018,Asia,China,25830.0
2708,01/01/2018,Asia,India,8481.0
2713,01/01/2018,Europe,France,6335.0
2731,01/02/2018,Europe,Germany,9785.0
2732,01/02/2018,Europe,Italy,13962.0
2733,01/02/2018,Europe,Russia,6953.0
2734,01/02/2018,Europe,the United Kingdom,11362.0
2735,01/02/2018,Asia,China,33506.0
2736,01/02/2018,Asia,India,6038.0
2741,01/02/2018,Europe,France,8058.0
2759,01/03/2018,Europe,Germany,14692.0
2760,01/03/2018,Europe,Italy,13198.0
2761,01/03/2018,Europe,Russia,7867.0
2762,01/03/2018,Europe,the United Kingdom,11829.0
2763,01/03/2018,Asia,China,13203.0
2764,01/03/2018,Asia,India,4916.0
2769,01/03/2018,Europe,France,6452.0
2787,01/04/2018,Europe,Germany,9070.0
2788,01/04/2018,Europe,Italy,8389.0
2789,01/04/2018,Europe,Russia,6433.0
2790,01/04/2018,Europe,the United Kingdom,10866.0
2791,01/04/2018,Asia,China,15093.0
2792,01/04/2018,Asia,India,5588.0
2797,01/04/2018,Europe,France,5903.0
2815,01/05/2018,Europe,Germany,10668.0
2816,01/05/2018,Europe,Italy,3258.0
2817,01/05/2018,Europe,Russia,3903.0
2818,01/05/2018,Europe,the United Kingdom,7577.0
2819,01/05/2018,Asia,China,16927.0
2820,01/05/2018,Asia,India,8711.0
2825,01/05/2018,Europe,France,2555.0
2843,01/06/2018,Europe,Germany,5283.0
2844,01/06/2018,Europe,Italy,3236.0
2845,01/06/2018,Europe,Russia,3646.0
2846,01/06/2018,Europe,the United Kingdom,6459.0
2847,01/06/2018,Asia,China,22853.0
2848,01/06/2018,Asia,India,7348.0
2853,01/06/2018,Europe,France,1057.0
2871,01/07/2018,Europe,Germany,6932.0
2872,01/07/2018,Europe,Italy,4644.0
2873,01/07/2018,Europe,Russia,4370.0
2874,01/07/2018,Europe,the United Kingdom,8421.0
2875,01/07/2018,Asia,China,33227.0
2876,01/07/2018,Asia,India,5694.0
2881,01/07/2018,Europe,France,2043.0
2899,01/08/2018,Europe,Germany,6382.0
2900,01/08/2018,Europe,Italy,8771.0
2901,01/08/2018,Europe,Russia,4525.0
2902,01/08/2018,Europe,the United Kingdom,9249.0
2903,01/08/2018,Asia,China,33472.0
2904,01/08/2018,Asia,India,4299.0
2909,01/08/2018,Europe,France,2714.0
2927,01/09/2018,Europe,Germany,9112.0
2928,01/09/2018,Europe,Italy,4133.0
2929,01/09/2018,Europe,Russia,3790.0
2930,01/09/2018,Europe,the United Kingdom,8106.0
2931,01/09/2018,Asia,China,27997.0
2932,01/09/2018,Asia,India,5244.0
2937,01/09/2018,Europe,France,1853.0
2955,01/10/2018,Europe,Germany,13364.0
2956,01/10/2018,Europe,Italy,5663.0
